Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","28189.67","X","Figure from international organizations"
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","33753.5","X","Figure from international organizations"
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","38972.23","X","Figure from international organizations"
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","5.76","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","5.08","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","4.29","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","1","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","2913.4","X","Figure from international organizations"
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","2882.48","X","Figure from international organizations"
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","2866.85","X","Figure from international organizations"
"FBS","Food Balances (2010-)","008","Albania","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","15.9","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","16.78","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","16.49","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","14","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","18","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","16","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","35856.34","X","Figure from international organizations"
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","39543.15","X","Figure from international organizations"
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","43451.67","X","Figure from international organizations"
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","4.06","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","5.04","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","4.73","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","8","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","8","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","8","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","23364.19","X","Figure from international organizations"
"FBS","Food Balances (2010-)","024","Angola","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","28127.72","X","Figure from international organizations"
"FBS","Food Balances (2010-)","024","Angola","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","33428.49","X","Figure from international organizations"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","2.79","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","7.27","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","4.9","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","30","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","41","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","27","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","85.69","X","Figure from international organizations"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","89.94","X","Figure from international organizations"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","92.66","X","Figure from international organizations"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","2.22","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","9.07","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","6.59","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","90","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","95","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","97","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","41100.12","X","Figure from international organizations"
