Country,Category,Sub.Category,Year,Gt.CO2.equivalent,Mt.CO2.equivalent,t.CO2.equivalent,kt.CO2.equivalent
ARG,AFOLU,Agricultural Soils,2012,0.0587,58.7,58700000,58700
ARG,AFOLU,CO2 Emissions and Removals from Soil,2012,0.0275,27.5,27500000,27500
ARG,AFOLU,Enteric Fermentation,2012,0.0629,62.9,62900000,62900
ARG,AFOLU,Forest and Grassland Conversion,2012,0.0625,62.5,62500000,62500
ARG,Energy,NA,2012,0.1858,185.8,185800000,185800
ARG,IPPU,NA,2012,0.0149,14.9,14900000,14900
ARG,Waste,NA,2012,0.0272,27.2,27200000,27200
ARG,AFOLU,Other (Agriculture),2012,0.0042,4.2,4200000,4200
AUS,AFOLU,Agricultural Soils,2020,0.011,11,11000000,11000
AUS,AFOLU,Enteric Fermentation,2020,0.0518,51.8,51800000,51800
AUS,AFOLU,Forest Land,2020,-0.0722,-72.2,-72200000,-72200
AUS,AFOLU,Grassland,2020,0.0296,29.6,29600000,29600
AUS,AFOLU,Harvested Wood Products,2020,-0.0042,-4.2,-4200000,-4200
AUS,IPPU,Industrial Processes and Product Use,2020,0.0206,20.6,20600000,20600
AUS,AFOLU,Manure Management,2020,0.0068,6.8,6800000,6800
AUS,Energy,NA,2020,0.4196,419.6,419600000,419600
AUS,Other,NA,2020,0,0,0,0
AUS,Waste,NA,2020,0.013,13,13000000,13000
AUS,AFOLU,Other (Agriculture),2020,0.003,3,3000000,3000
AUS,AFOLU,Other (Forest & LUC),2020,0.0076,7.6,7600000,7600
BRA,AFOLU,Agricultural Soils,2016,0.1351,135.1,135100000,135100
BRA,AFOLU,Enteric Fermentation,2016,0.331,331,331000000,331000
BRA,AFOLU,Land-Use Change and Forestry,2016,0.2944,294.4,294400000,294400
BRA,AFOLU,Manure Management,2016,0.0219,21.9,21900000,21900
BRA,Energy,NA,2016,0.4253,425.3,425300000,425300
BRA,IPPU,NA,2016,0.0796,79.6,79600000,79600
BRA,Waste,NA,2016,0.0826,82.6,82600000,82600
BRA,AFOLU,Other (Agriculture),2016,0.0189,18.9,18900000,18900
